(['GRO85051', 'SNA80324'], 'FRO40251', 1.0)
(['DAI75645', 'GRO85051'], 'FRO40251', 1.0)
(['ELE17451', 'GRO85051'], 'FRO40251', 1.0)
(['GRO73461', 'GRO85051'], 'FRO40251', 1.0)
(['ELE26917', 'GRO85051'], 'FRO40251', 1.0)
(['DAI23334', 'ELE92920'], 'DAI62779', 1.0)
(['ELE20847', 'GRO85051'], 'FRO40251', 1.0)
(['DAI55911', 'GRO85051'], 'FRO40251', 1.0)
(['ELE20847', 'FRO92469'], 'FRO40251', 1.0)
(['GRO21487', 'GRO85051'], 'FRO40251', 1.0)
(['DAI62779', 'DAI88079'], 'FRO40251', 1.0)
(['GRO38814', 'GRO85051'], 'FRO40251', 1.0)
(['GRO85051', 'SNA45677'], 'FRO40251', 1.0)
(['FRO53271', 'GRO85051'], 'FRO40251', 1.0)
(['DAI31081', 'GRO85051'], 'FRO40251', 1.0)
(['DAI62779', 'GRO85051'], 'FRO40251', 0.997)
(['DAI75645', 'DAI88079'], 'FRO40251', 0.993)
(['DAI88079', 'GRO73461'], 'FRO40251', 0.993)
(['DAI88079', 'ELE17451'], 'FRO40251', 0.992)
(['FRO92469', 'GRO73461'], 'FRO40251', 0.991)
(['DAI62779', 'FRO92469'], 'FRO40251', 0.983)
(['ELE17451', 'FRO92469'], 'FRO40251', 0.982)
(['DAI75645', 'FRO92469'], 'FRO40251', 0.98)
(['DAI88079', 'SNA80324'], 'FRO40251', 0.979)
(['FRO92469', 'SNA80324'], 'FRO40251', 0.974)
(['DAI55148', 'FRO92469'], 'FRO40251', 0.972)
(['ELE92920', 'GRO81087'], 'DAI62779', 0.957)
(['DAI85309', 'ELE92920'], 'DAI62779', 0.95)
(['ELE92920', 'SNA18336'], 'DAI62779', 0.949)
(['GRO15017', 'SNA18336'], 'DAI62779', 0.929)
(['DAI83733', 'ELE92920'], 'DAI62779', 0.928)
(['ELE17451', 'SNA18336'], 'DAI62779', 0.914)
(['ELE17451', 'ELE92920'], 'DAI62779', 0.898)
(['DAI42083', 'DAI62779'], 'DAI92600', 0.897)
(['ELE92920', 'GRO15017'], 'DAI62779', 0.888)
(['ELE59028', 'FRO85978'], 'DAI62779', 0.874)
(['DAI85309', 'SNA18336'], 'DAI62779', 0.873)
(['ELE21353', 'FRO19221'], 'DAI62779', 0.871)
(['ELE59028', 'SNA93860'], 'DAI62779', 0.857)
(['DAI62779', 'SNA18336'], 'ELE92920', 0.854)
(['ELE17451', 'SNA18336'], 'ELE92920', 0.854)
(['FRO19221', 'SNA53220'], 'DAI62779', 0.845)
(['DAI42493', 'SNA18336'], 'DAI62779', 0.838)
(['ELE99737', 'FRO19221'], 'DAI85309', 0.835)
(['FRO19221', 'SNA93860'], 'DAI62779', 0.828)
(['ELE92920', 'GRO59710'], 'DAI62779', 0.823)
(['ELE17451', 'GRO85051'], 'DAI62779', 0.82)
(['FRO47962', 'GRO73461'], 'DAI75645', 0.81)
(['ELE74009', 'ELE92920'], 'DAI62779', 0.808)
(['DAI85309', 'SNA18336'], 'ELE92920', 0.803)
(['ELE17451', 'GRO94758'], 'DAI62779', 0.793)
(['DAI75645', 'ELE92920'], 'DAI62779', 0.793)
(['DAI42493', 'ELE92920'], 'DAI62779', 0.789)
(['ELE59028', 'SNA93860'], 'FRO85978', 0.758)
(['FRO19221', 'SNA93860'], 'SNA53220', 0.755)
(['ELE32164', 'ELE92920'], 'DAI62779', 0.737)
(['FRO19221', 'SNA53220'], 'SNA93860', 0.735)
(['ELE59028', 'FRO85978'], 'SNA93860', 0.731)
(['ELE17451', 'GRO85051'], 'SNA80324', 0.728)
(['ELE92920', 'FRO40251'], 'DAI62779', 0.714)
(['FRO40251', 'SNA18336'], 'DAI62779', 0.713)
(['DAI85309', 'ELE17451'], 'DAI62779', 0.703)
(['FRO19221', 'GRO73461'], 'DAI62779', 0.703)
(['ELE17451', 'SNA80324'], 'DAI62779', 0.698)
(['DAI43223', 'ELE17451'], 'DAI62779', 0.696)
(['DAI85309', 'ELE92920'], 'SNA18336', 0.692)
(['DAI85309', 'SNA18336'], 'ELE17451', 0.688)
(['DAI85309', 'ELE92920'], 'ELE17451', 0.682)
(['ELE99737', 'GRO94758'], 'DAI85309', 0.68)
(['DAI62779', 'ELE99737'], 'DAI85309', 0.678)
(['DAI85309', 'FRO19221'], 'ELE99737', 0.661)
(['ELE17451', 'GRO15017'], 'DAI62779', 0.649)
(['ELE17451', 'SNA38068'], 'DAI62779', 0.638)
(['DAI43223', 'ELE17451'], 'ELE32164', 0.632)
(['DAI42083', 'ELE17451'], 'DAI92600', 0.632)
(['DAI43223', 'DAI62779'], 'ELE32164', 0.625)
(['DAI62779', 'SNA53220'], 'SNA93860', 0.621)
(['ELE17451', 'GRO81087'], 'DAI62779', 0.611)
(['SNA53220', 'SNA93860'], 'DAI62779', 0.606)
(['DAI43223', 'GRO73461'], 'ELE32164', 0.603)
(['DAI75645', 'ELE17451'], 'DAI62779', 0.6)
(['DAI31081', 'GRO59710'], 'ELE32164', 0.599)
(['ELE17451', 'ELE92920'], 'SNA18336', 0.594)
(['FRO85978', 'SNA93860'], 'DAI62779', 0.593)
(['DAI62779', 'DAI92600'], 'DAI42083', 0.593)
(['GRO94758', 'SNA80324'], 'FRO40251', 0.592)
(['DAI31081', 'DAI75645'], 'FRO40251', 0.592)
(['ELE17451', 'SNA80324'], 'FRO40251', 0.591)
(['DAI62779', 'SNA59903'], 'ELE17451', 0.591)
(['DAI75645', 'GRO94758'], 'SNA80324', 0.591)
(['ELE99737', 'SNA45677'], 'DAI85309', 0.59)
(['GRO81087', 'SNA80324'], 'FRO40251', 0.589)
(['FRO53271', 'SNA80324'], 'FRO40251', 0.587)
(['DAI75645', 'FRO47962'], 'GRO73461', 0.587)
(['FRO53271', 'GRO59710'], 'ELE32164', 0.587)
(['DAI75645', 'FRO53271'], 'FRO40251', 0.586)
(['GRO81087', 'SNA80324'], 'DAI75645', 0.584)
(['DAI42493', 'ELE17451'], 'DAI62779', 0.583)
(['ELE17451', 'FRO40251'], 'DAI62779', 0.582)
(['SNA55762', 'SNA80324'], 'DAI75645', 0.582)
(['DAI75645', 'GRO94758'], 'FRO40251', 0.581)
(['ELE32164', 'GRO30386'], 'DAI62779', 0.578)
(['ELE17451', 'SNA59903'], 'DAI62779', 0.575)
(['DAI92600', 'ELE17451'], 'DAI42083', 0.574)
(['DAI75645', 'GRO30386'], 'DAI62779', 0.573)
(['DAI55911', 'FRO40251'], 'GRO85051', 0.573)
(['GRO30386', 'SNA80324'], 'DAI62779', 0.571)
(['ELE20847', 'SNA80324'], 'FRO40251', 0.566)
(['ELE17451', 'SNA90094'], 'DAI62779', 0.566)
(['DAI43223', 'GRO59710'], 'ELE32164', 0.561)
(['FRO40251', 'GRO94758'], 'SNA80324', 0.561)
(['GRO71621', 'SNA80324'], 'FRO40251', 0.559)
(['ELE78169', 'SNA45677'], 'GRO94758', 0.558)
(['DAI62779', 'ELE20847'], 'SNA80324', 0.556)
(['DAI55148', 'SNA80324'], 'DAI62779', 0.555)
(['ELE17451', 'FRO78087'], 'DAI62779', 0.555)
(['DAI55148', 'FRO40251'], 'DAI62779', 0.551)
(['GRO30386', 'SNA80324'], 'DAI75645', 0.55)
(['GRO94758', 'SNA80324'], 'DAI75645', 0.55)
(['DAI85309', 'SNA55762'], 'DAI62779', 0.55)
(['DAI75645', 'ELE17451'], 'SNA80324', 0.548)
(['ELE17451', 'GRO71621'], 'DAI62779', 0.548)
(['DAI75645', 'GRO30386'], 'SNA80324', 0.548)
(['ELE17451', 'SNA96271'], 'DAI62779', 0.547)
(['DAI55148', 'DAI75645'], 'DAI62779', 0.545)
(['DAI31081', 'SNA80324'], 'FRO40251', 0.545)
(['DAI85309', 'ELE32164'], 'DAI62779', 0.544)
(['DAI75645', 'GRO81087'], 'FRO40251', 0.544)
(['FRO73056', 'GRO73461'], 'GRO44993', 0.544)
(['ELE17451', 'ELE32164'], 'DAI62779', 0.542)
(['DAI62779', 'ELE20847'], 'FRO40251', 0.538)
(['DAI62779', 'GRO59710'], 'ELE32164', 0.537)
(['DAI62779', 'GRO85051'], 'SNA80324', 0.537)
(['DAI75645', 'ELE20847'], 'SNA80324', 0.536)
(['ELE20847', 'FRO40251'], 'SNA80324', 0.535)
(['DAI75645', 'GRO21487'], 'GRO73461', 0.535)
(['DAI75645', 'ELE17451'], 'FRO40251', 0.534)
(['GRO30386', 'GRO59710'], 'DAI62779', 0.532)
(['DAI75645', 'GRO46854'], 'GRO73461', 0.532)
(['DAI75645', 'GRO71621'], 'FRO40251', 0.531)
(['DAI85309', 'GRO73461'], 'DAI62779', 0.53)
(['DAI62779', 'SNA53220'], 'FRO19221', 0.528)
(['DAI23334', 'DAI62779'], 'ELE92920', 0.524)
(['GRO21487', 'SNA80324'], 'FRO40251', 0.524)
(['DAI75645', 'GRO81087'], 'SNA80324', 0.524)
(['ELE17451', 'GRO59710'], 'DAI62779', 0.522)
(['ELE17451', 'GRO46854'], 'DAI62779', 0.522)
(['ELE17451', 'SNA45677'], 'DAI62779', 0.52)
(['ELE17451', 'SNA55762'], 'DAI62779', 0.518)
(['SNA55762', 'SNA80324'], 'FRO40251', 0.517)
(['DAI62779', 'SNA80324'], 'FRO40251', 0.516)
(['DAI75645', 'SNA55762'], 'FRO40251', 0.514)
(['ELE17451', 'ELE56788'], 'DAI62779', 0.514)
(['FRO40251', 'GRO94758'], 'DAI75645', 0.513)
(['DAI62779', 'ELE78169'], 'GRO94758', 0.512)
(['ELE74009', 'FRO40251'], 'DAI75645', 0.511)
(['SNA80324', 'SNA96271'], 'FRO40251', 0.511)
(['ELE17451', 'ELE26917'], 'DAI62779', 0.51)
(['FRO40251', 'GRO30386'], 'DAI62779', 0.509)
(['FRO40251', 'SNA55762'], 'DAI75645', 0.508)
(['GRO73461', 'SNA96271'], 'DAI62779', 0.507)
(['FRO80039', 'SNA80324'], 'FRO40251', 0.507)
(['ELE17451', 'FRO40251'], 'SNA80324', 0.506)
(['FRO40251', 'GRO46854'], 'GRO73461', 0.505)
(['ELE17451', 'SNA80324'], 'DAI75645', 0.503)
(['GRO71621', 'GRO73461'], 'DAI62779', 0.502)
(['FRO40251', 'GRO81087'], 'DAI75645', 0.502)
(['DAI75645', 'GRO21487'], 'FRO40251', 0.502)
(['ELE92920', 'SNA18336'], 'ELE17451', 0.501)
(['DAI75645', 'ELE20847'], 'FRO40251', 0.5)
(['DAI62779', 'ELE21353'], 'FRO19221', 0.5)
(['ELE26917', 'SNA80324'], 'FRO40251', 0.498)
(['DAI91290', 'ELE17451'], 'DAI62779', 0.498)
(['DAI83733', 'ELE17451'], 'DAI62779', 0.497)
(['DAI43223', 'DAI62779'], 'ELE17451', 0.495)
(['ELE17451', 'GRO59710'], 'ELE32164', 0.495)
(['GRO94758', 'SNA80324'], 'DAI62779', 0.495)
(['GRO38814', 'SNA80324'], 'FRO40251', 0.495)
(['DAI62779', 'ELE92920'], 'SNA18336', 0.493)
(['FRO40251', 'GRO71621'], 'SNA80324', 0.493)
(['FRO40251', 'SNA96271'], 'SNA80324', 0.493)
(['DAI55148', 'ELE17451'], 'DAI62779', 0.492)
(['SNA45677', 'SNA80324'], 'FRO40251', 0.492)
(['GRO73461', 'SNA55762'], 'DAI62779', 0.491)
(['DAI75645', 'SNA45677'], 'FRO40251', 0.49)
